ID,path,title,authors,translators,author_uris,translator_uris,original_language,genre,source_edition
17768,/p613/m17768,"האריסטוטליות והיהדות בפילוסופיה היהודית לפני הרמב""ם",מנחם שטיין,"",https://wikidata.org/wiki/Q19187951,"","",Translation missing: he.reference,"אגודת הסופרים בישראל ליד הוצאת ""מסדה"""
17769,/p613/m17769,"הרמב""ם והאריסטוטליות",מנחם שטיין,"",https://wikidata.org/wiki/Q19187951,"","",Translation missing: he.reference,"אגודת הסופרים בישראל ליד הוצאת ""מסדה"""
17770,/p613/m17770,הייחוּד הלאוּמי והאיחוּד האנושי בפילוסופיה של רבי יהוּדה הלוי,מנחם שטיין,"",https://wikidata.org/wiki/Q19187951,"","",Translation missing: he.reference,"אגודת הסופרים בישראל ליד הוצאת ""מסדה"""
17771,/p613/m17771,לבעיית חירות הרצון אצל ר' חסדאי קרשקש,מנחם שטיין,"",https://wikidata.org/wiki/Q19187951,"","",Translation missing: he.reference,"אגודת הסופרים בישראל ליד הוצאת ""מסדה"""
17772,/p613/m17772,דון יצחק אברבנאל לאור תקופתו ותקופתנו,מנחם שטיין,"",https://wikidata.org/wiki/Q19187951,"","",Translation missing: he.reference,"אגודת הסופרים בישראל ליד הוצאת ""מסדה"""
17773,/p613/m17773,ישראל והעמים בתפישת דון יצחק אברבנאל,מנחם שטיין,"",https://wikidata.org/wiki/Q19187951,"","",Translation missing: he.reference,"אגודת הסופרים בישראל ליד הוצאת ""מסדה"""
17774,/p613/m17774,אהבת אלהים אצל דון יהודה אברבנאל,מנחם שטיין,"",https://wikidata.org/wiki/Q19187951,"","",Translation missing: he.reference,"אגודת הסופרים בישראל ליד הוצאת ""מסדה"""
17775,/p613/m17775,לשאלת האהבה השכלית של אלהים אצל שפינוזה,מנחם שטיין,"",https://wikidata.org/wiki/Q19187951,"","",Translation missing: he.reference,"אגודת הסופרים בישראל ליד הוצאת ""מסדה"""
17776,/p613/m17776,הציונות של ברוך שפינוזה,מנחם שטיין,"",https://wikidata.org/wiki/Q19187951,"","",Translation missing: he.reference,"אגודת הסופרים בישראל ליד הוצאת ""מסדה"""
17777,/p613/m17777,על מתתיהו שוהם,מנחם שטיין,"",https://wikidata.org/wiki/Q19187951,"","",Translation missing: he.reference,"אגודת הסופרים בישראל ליד הוצאת ""מסדה"""
17780,/p5/m17780,דימון חלק א,מיכאיל לרמונטוב,אברהם סולודר,https://wikidata.org/wiki/Q46599,https://wikidata.org/wiki/Q6631385,ru,Translation missing: he.poetry,הוצאת יפת יפו
17794,/p390/m17794,דברי ימי עולם: כרך שמיני: סוף המאה השמונה-עשרה וראשית המאה התשע-עשרה,שמעון דובנוב,ברוך קרוא,https://wikidata.org/wiki/Q213693,https://wikidata.org/wiki/Q12404704,de,Translation missing: he.reference,דביר
17795,/p66/m17795,צִיּוּנִים יב (רישעוּת),יוסף חיים ברנר,"",https://wikidata.org/wiki/Q939732,"","",Translation missing: he.article,"ע“פ “כתבים”, כרכים ג-ד, תל-אביב: הקיבוץ המאוחד, תשל”ח-תשמ""ה"
17796,/p66/m17796,בִּיבְּלִיוֹגְרַפִיָּה (התנועה הערבית לי. בן־צבי),יוסף חיים ברנר,"",https://wikidata.org/wiki/Q939732,"","",Translation missing: he.article,"ע“פ “כתבים”, כרכים ג-ד, תל-אביב: הקיבוץ המאוחד, תשל”ח-תשמ""ה"
17797,/p66/m17797,"רִשְׁמֵי שָׁעָה (חילול־שבת, אזהרה מפני הבולשביקים היהודים ועניינים אחרים)",יוסף חיים ברנר,"",https://wikidata.org/wiki/Q939732,"","",Translation missing: he.article,"ע“פ “כתבים”, כרכים ג-ד, תל-אביב: הקיבוץ המאוחד, תשל”ח-תשמ""ה"
17798,/p66/m17798,"רִשְׁמֵי שָׁעָה (ידיעה מכתב־העת ""פוֹרוואֶרטס"")",יוסף חיים ברנר,"",https://wikidata.org/wiki/Q939732,"","",Translation missing: he.article,"ע“פ “כתבים”, כרכים ג-ד, תל-אביב: הקיבוץ המאוחד, תשל”ח-תשמ""ה"
17799,/p66/m17799,מִפִּנְקָס (שני מפגשים עם בני הארץ),יוסף חיים ברנר,"",https://wikidata.org/wiki/Q939732,"","",Translation missing: he.article,"ע“פ “כתבים”, כרכים ג-ד, תל-אביב: הקיבוץ המאוחד, תשל”ח-תשמ""ה"
17853,/p66/m17853,הזכייה הגדולה,שלום עליכם,יוסף חיים ברנר,https://wikidata.org/wiki/Q238090,https://wikidata.org/wiki/Q939732,yi,Translation missing: he.prose,סימן קריאה (1)
17854,/p66/m17854,קטנות גם גדולות: [מה רוצה ש''י איש הורוויץ?],יוסף חיים ברנר,"",https://wikidata.org/wiki/Q939732,"","",Translation missing: he.article,תל-אביב : ספרית פועלים
17855,/p66/m17855,"""יפת""",יוסף חיים ברנר,"",https://wikidata.org/wiki/Q939732,"","",Translation missing: he.article,תל־אביב : ספרית פועלים
